cruise_id	year	month	num_c_stations	num_f_stations	c_surface_samples	c_mid_samples	c_bottom_samples	f_surface_samples	f_mid_samples	f_bottom_samples	chl_samples	no3_no2_samples
WS14335	2014	12	32	44	39	3	11	45	0	0	98	98
WS15103	2015	4	37	38	44	4	10	38	0	1	91	96
WS15148	2015	6	39	38	45	1	9	38	0	0	90	93
WS15208	2015	7	42	37	50	17	24	37	0	0	122	123
WS15264	2015	9	31	47	38	4	11	47	0	0	100	100
WS15320	2015	11	29	47	36	0	9	47	0	0	90	92
WS16004	2016	1	32	45	39	1	11	45	0	0	95	95
WS16074	2016	3	33	44	40	0	9	44	0	0	93	93
WS16130	2016	5	34	41	41	1	22	41	0	0	104	104
WS16207	2016	7	33	44	41	3	13	44	0	0	100	100
WS16263	2016	9	34	43	41	2	12	43	0	0	98	98
WS16319	2016	11	34	40	41	0	9	40	0	0	90	90
WS17030	2017	1	32	45	38	2	16	45	0	0	100	100
WS17086	2017	3	33	40	40	2	13	40	0	0	95	95
WS17170	2017	6	28	50	31	0	6	50	0	0	87	87
WS17212	2017	7	28	49	32	5	13	49	0	0	98	99
WS17282	2017	10	70	7	70	4	16	7	0	0	97	97
WS18008	2018	1	32	47	32	1	16	47	0	0	96	96
SV18067	2018	3	30	37	30	3	16	37	0	0	86	86
WS18120	2018	4	27	43	27	1	9	43	0	0	79	80
SV18173	2018	6	32	42	32	5	18	42	0	0	97	97
WS18218	2018	8	34	44	33	2	16	44	0	0	95	95
WS18285	2018	10	67	22	67	7	51	21	0	1	144	147
WS18351	2018	12	11	27	12	2	10	27	0	0	51	51
WS19028	2019	1	40	25	40	1	27	25	0	0	93	93
WS19119	2019	4	46	49	46	1	30	49	0	0	125	126
WS19210	2019	7	45	45	45	6	36	45	0	0	128	130
WS19266	2019	9	66	40	66	15	53	40	0	0	174	174
WS19322	2019	11	74	46	74	8	64	46	0	0	189	192
WS20006	2020	1	55	44	57	2	44	44	0	0	145	147
WS20231	2020	8	50	32	50	1	38	32	0	0	119	121
WS20279	2020	10	70	53	69	14	54	51	1	3	0	192
WS20342	2020	12	71	44	71	1	58	44	0	0	174	174
WS21032	2021	2	70	49	70	1	50	49	0	0	170	170
WS21093	2021	4	72	45	72	3	61	45	0	0	179	181
WS21151	2021	5	79	46	79	0	67	46	0	0	192	192
WS21212	2021	7	77	44	77	1	63	44	0	0	0	185
WS21278	2021	10	74	44	79	0	58	44	0	0	181	140
WS21338	2021	12	73	47	73	0	59	47	0	0	0	179
WS22022	2022	1	72	46	72	0	56	46	0	0	171	174
WS22072	2022	3	80	41	80	0	55	41	0	0	176	176
WS22141	2022	5	73	42	73	0	54	42	0	0	169	169
WB22215	2022	8	66	32	66	2	57	32	0	0	155	157
WS22281	2022	10	76	45	77	8	59	45	0	0	185	189
WS22337	2022	12	83	46	84	5	70	46	0	0	199	205
WS23011	2023	1	77	47	77	1	59	47	0	0	184	184
WS23061	2023	3	90	46	92	1	71	46	0	0	0	210
HG23138	2023	5	90	46	90	1	75	46	0	0	63	212
WS23203	2023	7	90	46	91	6	74	46	0	0	134	217
WS23259	2023	9	86	42	87	5	69	42	0	0	203	203
HG23314	2023	11	81	42	81	1	65	42	0	0	189	189
HG24013	2024	1	90	39	90	1	75	39	0	0	205	204
HG24062	2024	3	90	46	90	1	81	46	0	0	218	218
WS24139	2024	5	90	46	90	1	71	46	0	0	207	208
WS24205	2024	7	91	48	96	100	82	48	0	0	314	314
WS24258	2024	9	89	47	89	1	75	47	0	0	212	212
WS24314	2024	11	102	45	105	14	89	45	0	0	253	253
WS25024	2025	1	87	42	87	12	69	42	0	0	210	210
HG25083	2025	3	86	46	182	2	146	92	0	0	406	406
WS25130	2025	5	86	43	87	1	69	43	0	0	198	199
